Date,SP500
2003-09-12,1478.93
2003-09-16,1494.50
2003-09-17,1489.69
2003-09-18,1509.47
2003-09-19,1504.74
2003-09-22,1485.16
2003-09-24,1465.66
2003-09-25,1457.09
2003-09-26,1448.03
2003-09-29,1462.20
2003-09-30,1446.77
2003-10-01,1479.23
2003-10-02,1482.36
2003-10-03,1496.32
2003-10-06,1502.86
2003-10-07,1510.05
2003-10-08,1502.65
2003-10-09,1509.86
2003-10-10,1509.00
2003-10-14,1525.60
2003-10-15,1521.95
2003-10-16,1526.80
2003-10-17,1511.18
2003-10-20,1518.97
2003-10-21,1520.93
2003-10-22,1498.28
2003-10-23,1503.26
2003-10-24,1496.19
2003-10-27,1499.43
2003-10-28,1522.21
2003-10-29,1524.41
2003-10-30,1523.12
2003-10-31,1528.62
2003-11-04,1532.34
2003-11-05,1530.54
2003-11-06,1539.75
2003-11-07,1533.02
2003-11-10,1524.26
2003-11-11,1523.47
2003-11-12,1541.49
2003-11-13,1541.30
2003-11-14,1529.83
2003-11-17,1520.07
2003-11-18,1506.32
2003-11-19,1518.51
2003-11-20,1505.76
2003-11-21,1508.21
2003-11-25,1535.49
2003-11-26,1542.39
2003-11-28,1542.07
2003-12-01,1559.50
2003-12-02,1554.41
2003-12-03,1552.09
2003-12-04,1559.47
2003-12-05,1547.51
2003-12-08,1558.96
2003-12-09,1545.68
2003-12-10,1544.31
2003-12-11,1562.23
2003-12-12,1566.50
2003-12-15,1557.66
2003-12-16,1568.02
2003-12-17,1570.15
2003-12-18,1588.90
2003-12-19,1588.19
2003-12-22,1594.43
2003-12-24,1596.05
2003-12-26,1598.74
2003-12-29,1619.16
2003-12-30,1619.59
2004-01-05,1638.10
2004-01-06,1640.30
2004-01-07,1644.60
2004-01-08,1652.83
2004-01-09,1638.13
2004-01-13,1637.33
2004-01-14,1650.96
2004-01-15,1653.20
2004-01-16,1664.57
2004-01-20,1663.02
2004-01-21,1676.07
2004-01-22,1670.73
2004-01-23,1667.26
2004-01-26,1687.44
2004-01-27,1670.90
2004-01-28,1648.43
2004-01-29,1657.09
2004-01-30,1652.72
2004-02-02,1658.79
2004-02-03,1659.92
2004-02-04,1646.29
2004-02-05,1649.35
2004-02-06,1670.14
2004-02-09,1666.16
2004-02-10,1674.55
2004-02-12,1684.92
2004-02-13,1675.86
2004-02-17,1692.22
2004-02-18,1684.89
2004-02-19,1678.01
2004-02-20,1673.71
2004-02-23,1669.20
2004-02-24,1666.42
2004-02-25,1673.34
2004-02-26,1675.63
2004-02-27,1675.70
2004-03-01,1691.90
2004-03-02,1681.88
2004-03-03,1685.17
2004-03-04,1690.83
2004-03-05,1693.76
2004-03-08,1679.74
2004-03-09,1670.07
2004-03-10,1645.79
2004-03-11,1621.21
2004-03-12,1641.42
2004-03-15,1617.91
2004-03-16,1627.03
2004-03-17,1646.29
2004-03-18,1644.21
2004-03-19,1625.84
2004-03-22,1604.80
2004-03-23,1602.67
2004-03-24,1598.85
2004-03-25,1625.01
2004-03-26,1623.36
2004-03-29,1644.75
2004-03-30,1651.43
2004-03-31,1650.42
2004-04-01,1659.16
2004-04-02,1673.40
2004-04-05,1686.24
2004-04-06,1683.23
2004-04-07,1672.14
2004-04-08,1670.36
2004-04-12,1679.02
2004-04-13,1655.99
2004-04-14,1654.17
2004-04-15,1655.15
2004-04-16,1663.62
2004-04-19,1665.39
2004-04-20,1639.49
2004-04-21,1648.31
2004-04-22,1671.63
2004-04-23,1672.62
2004-04-26,1665.19
2004-04-27,1668.98
2004-04-28,1646.19
2004-04-30,1624.51
2004-05-06,1634.75
2004-05-07,1612.31
2004-05-10,1595.38
2004-05-11,1607.94
2004-05-12,1611.15
2004-05-13,1610.05
2004-05-14,1609.12
2004-05-17,1592.23
2004-05-18,1603.14
2004-05-19,1599.29
2004-05-20,1600.06
2004-05-21,1606.49
2004-05-24,1609.22
2004-05-25,1635.14
2004-05-26,1638.16
2004-05-27,1647.65
2004-05-28,1646.80
2004-06-01,1647.57
2004-06-02,1653.66
2004-06-03,1641.43
2004-06-04,1650.07
2004-06-07,1676.48
2004-06-08,1679.21
2004-06-09,1663.38
2004-06-10,1671.01
2004-06-14,1655.00
2004-06-15,1664.92
2004-06-16,1667.23
2004-06-17,1665.02
2004-06-18,1669.39
2004-06-21,1662.46
2004-06-22,1668.54
2004-06-23,1682.75
2004-06-24,1678.07
2004-06-25,1668.93
2004-06-28,1667.61
2004-06-29,1671.84
2004-06-30,1678.83
2004-07-01,1661.45
2004-07-02,1656.25
2004-07-06,1642.76
2004-07-07,1646.28
2004-07-08,1632.81
2004-07-09,1638.34
2004-07-12,1640.65
2004-07-13,1641.89
2004-07-14,1636.62
2004-07-15,1629.58
2004-07-16,1621.80
2004-07-20,1632.52
2004-07-21,1610.88
2004-07-22,1615.27
2004-07-23,1599.62
2004-07-26,1596.48
2004-07-27,1612.33
2004-07-28,1613.50
2004-07-29,1621.35
2004-07-30,1623.26
2004-08-02,1630.48
2004-08-03,1620.28
2004-08-04,1619.00
2004-08-05,1592.64
2004-08-06,1568.07
2004-08-09,1569.96
2004-08-10,1590.35
2004-08-11,1586.43
2004-08-12,1567.95
2004-08-13,1570.44
2004-08-16,1591.94
2004-08-17,1595.57
2004-08-18,1615.72
2004-08-19,1609.97
2004-08-20,1620.47
2004-08-23,1616.68
2004-08-24,1617.46
2004-08-25,1630.48
2004-08-26,1630.68
2004-08-27,1634.83
2004-08-30,1622.28
2004-08-31,1629.83
2004-09-01,1632.82
2004-09-02,1651.14
2004-09-03,1644.25
2004-09-07,1655.65
2004-09-08,1648.52
2004-09-09,1651.65
2004-09-10,1659.84
2004-09-13,1663.10
2004-09-14,1666.82
2004-09-15,1655.10
2004-09-16,1659.78
2004-09-17,1667.25
2004-09-21,1668.39
2004-09-22,1645.17
2004-09-24,1640.40
2004-09-27,1630.67
2004-09-28,1640.62
2004-09-29,1647.79
2004-09-30,1647.48
2004-10-01,1672.49
2004-10-04,1678.10
2004-10-05,1677.09
2004-10-06,1688.83
2004-10-07,1672.08
2004-10-08,1659.51
2004-10-12,1659.07
2004-10-13,1647.13
2004-10-14,1631.81
2004-10-15,1639.08
2004-10-18,1647.69
2004-10-19,1631.74
2004-10-20,1632.49
2004-10-21,1636.76
2004-10-22,1620.85
2004-10-25,1619.48
2004-10-26,1643.57
