Date,Close,sigma2
2002-06-13,1433.01,0.000236
2002-06-14,1429.78,0.000254
2002-06-17,1470.84,0.000245
2002-06-18,1472.25,0.000209
2002-06-19,1447.98,0.000195
2002-06-20,1428.55,0.000235
2002-06-21,1404.19,0.000263
2002-06-24,1409.30,0.000306
2002-06-25,1385.76,0.000280
2002-06-26,1382.78,0.000322
2002-06-27,1407.11,0.000309
2002-06-28,1405.93,0.000262
2002-07-01,1375.87,0.000250
2002-07-02,1346.96,0.000312
2002-07-03,1355.40,0.000375
2002-07-05,1405.20,0.000338
2002-07-08,1388.44,0.000290
2002-07-09,1354.23,0.000312
2002-07-10,1308.30,0.000394
2002-07-11,1318.18,0.000538
2002-07-12,1309.68,0.000483
2002-07-15,1304.76,0.000479
2002-07-16,1280.78,0.000463
2002-07-17,1287.98,0.000515
2002-07-18,1253.21,0.000467
2002-07-19,1205.16,0.000569
2002-07-22,1165.48,0.000758
2002-07-23,1133.99,0.000911
2002-07-24,1199.01,0.001020
2002-07-25,1192.28,0.000861
2002-07-26,1212.41,0.000836
2002-07-29,1278.10,0.000728
2002-07-30,1283.62,0.000623
2002-07-31,1296.34,0.000570
2002-08-01,1258.22,0.000507
2002-08-02,1229.19,0.000626
2002-08-05,1187.07,0.000705
2002-08-06,1222.59,0.000868
2002-08-07,1247.28,0.000733
2002-08-08,1288.12,0.000629
2002-08-09,1292.94,0.000527
2002-08-12,1286.08,0.000484
2002-08-13,1258.36,0.000475
2002-08-14,1309.04,0.000544
2002-08-15,1324.32,0.000459
2002-08-16,1322.36,0.000402
2002-08-19,1353.63,0.000383
2002-08-20,1334.70,0.000322
2002-08-21,1351.82,0.000352
2002-08-22,1370.85,0.000305
2002-08-23,1339.78,0.000262
2002-08-26,1349.88,0.000331
2002-08-27,1331.19,0.000295
2002-08-28,1307.28,0.000325
2002-08-30,1304.85,0.000373
2002-09-03,1250.68,0.000357
2002-09-04,1273.03,0.000554
2002-09-05,1252.77,0.000476
2002-09-06,1273.88,0.000514
2002-09-09,1286.79,0.000442
2002-09-10,1296.23,0.000390
2002-09-11,1296.25,0.000349
2002-09-12,1264.42,0.000329
2002-09-13,1268.57,0.000411
2002-09-16,1270.45,0.000378
2002-09-17,1245.39,0.000352
2002-09-18,1239.70,0.000409
2002-09-19,1202.46,0.000400
2002-09-20,1205.42,0.000519
2002-09-23,1188.76,0.000480
2002-09-24,1168.22,0.000508
2002-09-25,1197.56,0.000553
2002-09-26,1219.60,0.000467
2002-09-27,1180.28,0.000398
2002-09-30,1163.04,0.000532
2002-10-01,1209.59,0.000563
2002-10-02,1181.32,0.000474
2002-10-03,1168.56,0.000553
2002-10-04,1142.36,0.000565
2002-10-07,1120.51,0.000640
2002-10-08,1139.90,0.000695
2002-10-09,1108.91,0.000602
2002-10-10,1147.80,0.000709
2002-10-11,1192.63,0.000594
2002-10-14,1201.37,0.000498
2002-10-15,1258.24,0.000448
2002-10-16,1228.01,0.000391
2002-10-17,1255.42,0.000473
2002-10-18,1262.84,0.000400
2002-10-21,1284.73,0.000361
2002-10-22,1271.08,0.000307
2002-10-23,1279.63,0.000324
2002-10-24,1260.17,0.000290
2002-10-25,1281.81,0.000325
2002-10-28,1271.20,0.000276
2002-10-29,1259.79,0.000285
2002-10-30,1272.25,0.000296
2002-10-31,1265.41,0.000260
2002-11-01,1287.13,0.000260
2002-11-04,1297.69,0.000220
2002-11-05,1307.80,0.000193
2002-11-06,1320.04,0.000170
2002-11-07,1290.15,0.000148
2002-11-08,1278.94,0.000210
2002-11-11,1252.42,0.000222
2002-11-12,1262.14,0.000281
2002-11-13,1261.97,0.000249
2002-11-14,1293.21,0.000235
2002-11-15,1301.28,0.000199
2002-11-18,1287.79,0.000177
2002-11-19,1282.61,0.000194
2002-11-20,1307.61,0.000193
2002-11-21,1335.74,0.000163
2002-11-22,1331.16,0.000138
2002-11-25,1334.52,0.000138
2002-11-26,1306.79,0.000127
2002-11-27,1343.47,0.000180
